sequence,sound_name,delay
0,i08_5k,0.35
0,i08_5k,0.35
0,i08_5k,0.35
0,i08_5k,0.35
0,i08_5k,0.35
0,i08_5k,0.35
0,i08_5k,0.35
0,i05_625,0.35
0,i08_5k,0.35
0,i08_5k,0.35
1,i08_5k,0.35
1,i08_5k,0.35
1,i08_5k,0.35
1,i08_5k,0.35
1,i08_5k,0.35
1,i08_5k,0.35
1,i08_5k,0.35
1,i05_625,0.35
1,i08_5k,0.35
1,i08_5k,0.35
2,i08_5k,0.35
2,i08_5k,0.35
2,i08_5k,0.35
2,i08_5k,0.35
2,i08_5k,0.35
2,i08_5k,0.35
2,i08_5k,0.35
2,i05_625,0.35
2,i08_5k,0.35
2,i08_5k,0.35
3,i08_5k,0.35
3,i08_5k,0.35
3,i08_5k,0.35
3,i08_5k,0.35
3,i08_5k,0.35
3,i08_5k,0.35
3,i08_5k,0.35
3,i05_625,0.35
3,i08_5k,0.35
3,i08_5k,0.35
4,i08_5k,0.35
4,i08_5k,0.35
4,i08_5k,0.35
4,i08_5k,0.35
4,i08_5k,0.35
4,i08_5k,0.35
4,i08_5k,0.35
4,i05_625,0.35
4,i08_5k,0.35
4,i08_5k,0.35
5,i08_5k,0.35
5,i08_5k,0.35
5,i08_5k,0.35
5,i08_5k,0.35
5,i08_5k,0.35
5,i08_5k,0.35
5,i08_5k,0.35
5,i11_40k,0.35
5,i08_5k,0.35
5,i08_5k,0.35
6,i08_5k,0.35
6,i08_5k,0.35
6,i08_5k,0.35
6,i08_5k,0.35
6,i08_5k,0.35
6,i08_5k,0.35
6,i08_5k,0.35
6,i11_40k,0.35
6,i08_5k,0.35
6,i08_5k,0.35
7,i08_5k,0.35
7,i08_5k,0.35
7,i08_5k,0.35
7,i08_5k,0.35
7,i08_5k,0.35
7,i08_5k,0.35
7,i08_5k,0.35
7,i11_40k,0.35
7,i08_5k,0.35
7,i08_5k,0.35
8,i08_5k,0.35
8,i08_5k,0.35
8,i08_5k,0.35
8,i08_5k,0.35
8,i08_5k,0.35
8,i08_5k,0.35
8,i08_5k,0.35
8,i11_40k,0.35
8,i08_5k,0.35
8,i08_5k,0.35
9,i08_5k,0.35
9,i08_5k,0.35
9,i08_5k,0.35
9,i08_5k,0.35
9,i08_5k,0.35
9,i08_5k,0.35
9,i08_5k,0.35
9,i11_40k,0.35
9,i08_5k,0.35
9,i08_5k,0.35
10,i02_78,0.35
10,i03_156,0.35
10,i04_313,0.35
10,i05_625,0.35
10,i06_1250,0.35
10,i07_2500,0.35
10,i08_5k,0.35
10,i09_10k,0.35
10,i10_20k,0.35
10,i11_40k,0.35
11,i02_78,0.35
11,i03_156,0.35
11,i04_313,0.35
11,i05_625,0.35
11,i06_1250,0.35
11,i07_2500,0.35
11,i08_5k,0.35
11,i09_10k,0.35
11,i10_20k,0.35
11,i11_40k,0.35
12,i02_78,0.35
12,i03_156,0.35
12,i04_313,0.35
12,i05_625,0.35
12,i06_1250,0.35
12,i07_2500,0.35
12,i08_5k,0.35
12,i09_10k,0.35
12,i10_20k,0.35
12,i11_40k,0.35
13,i02_78,0.35
13,i03_156,0.35
13,i04_313,0.35
13,i05_625,0.35
13,i06_1250,0.35
13,i07_2500,0.35
13,i08_5k,0.35
13,i09_10k,0.35
13,i10_20k,0.35
13,i11_40k,0.35
14,i02_78,0.35
14,i03_156,0.35
14,i04_313,0.35
14,i05_625,0.35
14,i06_1250,0.35
14,i07_2500,0.35
14,i08_5k,0.35
14,i09_10k,0.35
14,i10_20k,0.35
14,i11_40k,0.35
15,i11_40k,0.35
15,i10_20k,0.35
15,i09_10k,0.35
15,i08_5k,0.35
15,i07_2500,0.35
15,i06_1250,0.35
15,i05_625,0.35
15,i04_313,0.35
15,i03_156,0.35
15,i02_78,0.35
16,i11_40k,0.35
16,i10_20k,0.35
16,i09_10k,0.35
16,i08_5k,0.35
16,i07_2500,0.35
16,i06_1250,0.35
16,i05_625,0.35
16,i04_313,0.35
16,i03_156,0.35
16,i02_78,0.35
17,i11_40k,0.35
17,i10_20k,0.35
17,i09_10k,0.35
17,i08_5k,0.35
17,i07_2500,0.35
17,i06_1250,0.35
17,i05_625,0.35
17,i04_313,0.35
17,i03_156,0.35
17,i02_78,0.35
18,i11_40k,0.35
18,i10_20k,0.35
18,i09_10k,0.35
18,i08_5k,0.35
18,i07_2500,0.35
18,i06_1250,0.35
18,i05_625,0.35
18,i04_313,0.35
18,i03_156,0.35
18,i02_78,0.35
19,i11_40k,0.35
19,i10_20k,0.35
19,i09_10k,0.35
19,i08_5k,0.35
19,i07_2500,0.35
19,i06_1250,0.35
19,i05_625,0.35
19,i04_313,0.35
19,i03_156,0.35
19,i02_78,0.35
20,i08_5k,0.35
20,i10_20k,0.35
20,i02_78,0.35
20,i06_1250,0.35
20,i04_313,0.35
20,i11_40k,0.35
20,i05_625,0.35
20,i09_10k,0.35
20,i07_2500,0.35
20,i03_156,0.35
21,i08_5k,0.35
21,i10_20k,0.35
21,i02_78,0.35
21,i06_1250,0.35
21,i04_313,0.35
21,i11_40k,0.35
21,i05_625,0.35
21,i09_10k,0.35
21,i07_2500,0.35
21,i03_156,0.35
22,i08_5k,0.35
22,i10_20k,0.35
22,i02_78,0.35
22,i06_1250,0.35
22,i04_313,0.35
22,i11_40k,0.35
22,i05_625,0.35
22,i09_10k,0.35
22,i07_2500,0.35
22,i03_156,0.35
23,i08_5k,0.35
23,i10_20k,0.35
23,i02_78,0.35
23,i06_1250,0.35
23,i04_313,0.35
23,i11_40k,0.35
23,i05_625,0.35
23,i09_10k,0.35
23,i07_2500,0.35
23,i03_156,0.35
24,i08_5k,0.35
24,i10_20k,0.35
24,i02_78,0.35
24,i06_1250,0.35
24,i04_313,0.35
24,i11_40k,0.35
24,i05_625,0.35
24,i09_10k,0.35
24,i07_2500,0.35
24,i03_156,0.35
25,i08_5k,0.35
25,i10_20k,0.35
25,i02_78,0.35
25,i06_1250,0.35
25,i04_313,0.35
25,i11_40k,0.35
25,i05_625,0.35
25,i09_10k,0.35
25,i07_2500,0.35
25,i03_156,0.35
